x,y,hue,cat,location,name
-15.426692,-25.479631,0,"Big Data, Blockchain, Internet of Things",Austin,Williams Technology Group
32.123787,23.972425,5,"Consulting, Digital Marketing, Machine Learning, Marketing, Social Media Advertising, Social Media Management, Social Media Marketing, Software",Bay Area,Merakite
5.617075,22.885508,5,"Enterprise Software, Mobile",Bay Area,Mongrov
-8.403623,-3.4380934,5,"Analytics, Information Technology",Bay Area,nlightn Technologies Inc
5.294865,20.595293,4,"Analytics, Machine Learning, Sports, Training",New York,Athlete Training Club
5.976731,10.499524,5,Blockchain,Bay Area,TuringNet
-30.58966,26.775248,5,"Information Technology, Machine Learning",Bay Area,Digamma.ai
-24.162891,7.291426,5,"Accounting, FinTech",Bay Area,"Genial Technology, Inc."
9.015856,4.549575,4,Artificial Intelligence,New York,Deep Nexus Inc.
-11.345462,46.03856,4,"Enterprise Software, Machine Learning, SaaS",New York,Pilotship
5.6067867,22.90829,5,"Marketing, SaaS",Bay Area,Baarei
